Nom variable,% NA
DeployedFromStation_Name,0.001212
DeployedFromStation_Code,0.001212
DeployedFromLocation,0.049828
DateAndTimeMobile,1.221317
TurnoutTimeSeconds,1.227063
TravelTimeSeconds,1.231238
DateAndTimeLeft,2.081047
