Nom variable,% NA
Northing_m,48.93395
Latitude,48.93395
Longitude,48.93395
Easting_m,48.933951
Postcode_full,48.933951
SecondPumpArriving_AttendanceTime,64.244457
SecondPumpArriving_DeployedFromStation,64.244894
SpecialServiceType,68.156840
