Modalité,Effectif
2009,107022
2022,102784
2010,96501
2011,89792
2021,88565
2018,86276
2016,85665
2019,85449
2017,84751
2012,84263
2013,81899
2020,80493
2015,78905
2014,77283
2023,57945
